Instances,feature_avg_Segment_length,feature_full_road_diversity,feature_std_pivot_off,feature_total_angle,algo_safety
126,0.07027920443811186,0.07628687511596335,0.04070709351706506,0.9243436666363442,0
127,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
128,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
129,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
130,0.05831515525389158,0.2056835944711965,0.02446124299454184,0.6496890208441956,0
131,0.058116746038482214,0.08530210667486533,0.03005051413457459,0.8585799186103688,0
132,0.05791303139702167,0.007179139379649259,0.01275743875825671,0.9406608763760324,0
133,0.07027920443811186,0.07628687511596335,0.04070709351706506,0.9243436666363442,0
134,0.05811964034236303,0.190761135901531,0.08173476561061523,0.7853804480716824,0
135,0.4697207943405826,0.03557135532402556,0.2619984545633175,0.25316112950724123,1
136,0.008685314875143152,0.10044330234918403,0.07226030124106918,0.20586268564678592,0
