Instances,feature_direct_distance,feature_median_pivot_off,feature_min_angle,feature_num_r_turns,feature_road_distance,feature_std_pivot_off,feature_total_angle,feature_uturns,algo_safety
124,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
125,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
126,0.5646601849180568,0.7292060679408792,0.8669453069487112,0.8,0.48504538454174306,0.4972067930182111,0.17280853115226757,0.0,0
127,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
128,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
129,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
130,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
131,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
132,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
133,0.5646601849180568,0.7292060679408792,0.8669453069487112,0.8,0.48504538454174306,0.4972067930182111,0.17280853115226757,0.0,0
134,0.4422015104039865,0.43284606835613965,0.9999999999999999,0.2,0.36145297198032966,0.24232061893731383,0.8292879732668736,0.0,0
135,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
136,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
137,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
138,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
139,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
140,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
141,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
142,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
143,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
144,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
145,0.30610174891140635,0.3634071501299648,0.7534290774728107,0.2,0.36221772548849773,0.0015072477217208113,0.7159298569142624,0.0,0
146,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
147,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
148,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
149,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
150,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
151,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
152,0.30610174891140635,0.3634071501299648,0.7534290774728107,0.2,0.36221772548849773,0.0015072477217208113,0.7159298569142624,0.0,0
153,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
154,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
155,0.6241136414463128,1.0,0.7498969266516247,0.6000000000000001,0.2685992705767932,0.06674302429064144,0.0,0.0,0
156,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
157,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
158,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
159,0.30610174891140635,0.3634071501299648,0.7534290774728107,0.2,0.36221772548849773,0.0015072477217208113,0.7159298569142624,0.0,0
160,0.8179578625390734,0.8622116676238871,0.885889281104696,0.6000000000000001,0.6096506023220443,0.1802890864216643,0.3563715155169687,0.0,0
161,0.0,0.8962636542821178,0.7969184635900081,0.8,0.9999999999999998,0.12490078798593646,0.7341098303346355,0.0,1
162,0.3502568840427224,0.6564760563125447,0.7207693609009742,1.0000000000000002,0.6006803938150596,0.895349436298982,0.029786837069874395,0.0,1
163,0.34600258482385765,0.2756603699648216,0.8749133276682373,0.4000000000000001,0.3472855671440682,0.05885428667917242,0.8800898320502143,0.0,0
164,0.3702242264824088,0.0,0.6202508474566606,0.4000000000000001,0.4840974504810889,0.13768063752201132,0.17090896510814385,0.0,0
